HTER,FAR,FRR,Balanced Accuracy,AUC,loss
0.2941139575278563,0.5648626316293263,0.023365283426386343,0.7058860424428068,0.9044675238998514,0.2269663772970438
0.23102065693091822,0.4378227638465376,0.02421855001529881,0.7689793430462994,0.94526139357511,0.1806242997482419
0.21396637067636867,0.40384218132577543,0.02409056002696194,0.7860336293026047,0.9532015347647322,0.167856121660769
0.2000083322992624,0.3775046477610509,0.022512016837473878,0.7999916676810823,0.9598061085486119,0.1569181790702045
0.18950248668976946,0.35726089647208625,0.02174407690745266,0.8104975132916261,0.9641550934319276,0.14903237767368555
0.17509539495833448,0.3296839495631394,0.020506840353529582,0.824904605024494,0.9706899695301633,0.13605635908842087
0.16632182211839447,0.3124354471893787,0.020208197047410222,0.833678177865327,0.9730503491504253,0.1311589663952589
0.15782779205655686,0.29570336704237726,0.01995221707073648,0.8421722079280305,0.9756982310813602,0.12501033782064916
0.15165278259693446,0.28413550916296887,0.019170056030900055,0.8483472173882558,0.977621398969555,0.12050863437354564
0.14353410640526038,0.267713282352023,0.019354930458497756,0.8564658935807767,0.9793655787240542,0.11583647750094533
0.1319579952293881,0.24530055771066922,0.018615432748106953,0.8680420047578117,0.9825822374819114,0.10746829634588212
0.124801783538923,0.23177029536957547,0.017833271708270527,0.8751982164489811,0.984174441426621,0.10219517325684428
0.11935615015490479,0.22082214416227822,0.017890156147531356,0.8806438498335643,0.9852538335027008,0.09906735862251372
0.11286755068258139,0.20842801072005493,0.01730709064510784,0.8871324493065318,0.9865340308220245,0.09499591814856977
0.10642685675628852,0.1959305928324798,0.01692312068009723,0.8935731432334728,0.9874499785461295,0.0917499613277614
