HTER,FAR,FRR,Balanced Accuracy,AUC,loss
0.3461853530869254,0.6710390414510391,0.021331664722811634,0.653814646878269,0.8572204327366505,0.2642955893188715
0.28568838473359903,0.5491633959358435,0.022213373531354514,0.714311615237883,0.9113885019545198,0.21947528705596925
0.2666249312128899,0.5106382978195995,0.022611564606180332,0.7333750687605788,0.9271805523500203,0.2025628809720278
0.2504882149933978,0.47903325754193005,0.02194317244486557,0.7495117849817079,0.9370663586007859,0.190773398989439
0.24362353605414447,0.46550299520083627,0.02174407690745266,0.7563764639216612,0.9403974288456715,0.18588498528897762
0.23415468871960538,0.4459822350293346,0.022327142409876176,0.7658453112572043,0.9457465725436203,0.1788730335086584
0.23493414713153937,0.44897748394453857,0.020890810318540193,0.7650658528451258,0.9467525750563942,0.17671828734427691
0.22890435984994803,0.436789919393019,0.021018800306877063,0.7710956401273457,0.9493593792484685,0.17280519568622113
0.2195212019726834,0.41768229700292475,0.021360106942442048,0.7804787980055947,0.9524145905143794,0.1685994835153222
0.21867323194676253,0.4156166080958876,0.021729855797637452,0.7813267680316196,0.954069372776909,0.16551757595688105
0.2096272268836276,0.3978516834953675,0.021402770271887674,0.7903727730956742,0.9588681189855847,0.15854701977223157
0.20634345629709086,0.39124147899284845,0.021445433601333296,0.793656543682552,0.9596106520113582,0.15696270439326762
0.20569790134043842,0.39093162565679285,0.02046417702408396,0.7943020986392275,0.9586439183863051,0.15799283618479967
0.20054603184433786,0.3804998966762549,0.02059216701242083,0.7994539681358659,0.9609875732940165,0.1546298482351005
0.19806160014092508,0.37523238996331,0.020890810318540193,0.8019383998395485,0.9625467427551172,0.15205894404053688
0.19316269954161933,0.3654203676548832,0.0209050314283554,0.8068373004393609,0.962793372227241,0.15096241393685342
0.19266610343964335,0.36469737653742024,0.020634830341866455,0.8073338965413761,0.9644578127119965,0.1482859159745276
0.18981529675929737,0.3592233009337716,0.02040729258482313,0.8101847032220064,0.9644773032115519,0.1482996153369546
0.19135371620802227,0.3621152654036237,0.02059216701242083,0.8086462837731309,0.9646641546701181,0.14731280884891748
0.18999342343037068,0.35963643871517903,0.0203504081455623,0.8100065765509122,0.965405077135376,0.14666492467448114
0.18453766841156588,0.349307994179993,0.019767342643138782,0.8154623315702545,0.9676436541691891,0.14181349418237804
0.18140358227647205,0.34311092745888133,0.019696237094062742,0.8185964177056688,0.9681422581473784,0.14095874668210745
0.1800159900207463,0.33990910965297366,0.020122870388518975,0.819984009961557,0.9690831427535213,0.1392865018621087
0.176144328859991,0.3318529229155285,0.020435734804453546,0.8238556711227261,0.9693768280596263,0.1382527280844748
0.1762573177953396,0.332989051814399,0.019525583776280248,0.8237426821873253,0.9701956082369255,0.13644146070554852
0.17094413667307012,0.32307374506062037,0.01881452828551986,0.8290558633101118,0.9710719220716788,0.13503318600803613
0.16905060662375487,0.31863251391049036,0.01946869933701942,0.8309493933596518,0.9717207980291075,0.13394002488106488
0.17000186109502766,0.3209047717082313,0.019098950481824015,0.8299981388882642,0.9718064177174781,0.13332720756456257
0.16802077325011525,0.3159471183313419,0.02009442816888856,0.8319792267334256,0.9720321157781765,0.13268236561715602
0.16824120045225097,0.3159471183313419,0.02053528257316,0.8317587995312867,0.9720603435501691,0.13310235225185751
0.16509808107752016,0.3116091716265638,0.018586990528476538,0.8349019189062554,0.9729345386128806,0.13093240282200277
0.1678897721818994,0.3165668250034531,0.01921271936034568,0.8321102278016158,0.9729074668017872,0.1306966055750847
0.1658652410643683,0.31274530052543426,0.018985181603302353,0.8341347589193459,0.9743106021049863,0.12813295867629348
0.16284154992953395,0.30675480269502636,0.018928297164041524,0.83715845005449,0.9740576706630562,0.1280522480662912
0.16061346100117813,0.3019004337634889,0.019326488238867342,0.8393865389830937,0.9749339272138512,0.1265171869520098
0.15876705655472034,0.2984920470668775,0.019042066042563185,0.8412329434297294,0.975282189443878,0.12524519415087998
0.1579924232145814,0.2969427803865996,0.019042066042563185,0.8420075767699484,0.9753913454949508,0.12552715058773756
0.15673728322060437,0.2947738070342105,0.0187007594069982,0.8432627167640399,0.9759960790217573,0.12351389722414315
0.1536204292752047,0.2879570336409877,0.019283824909421717,0.8463795707097874,0.9760848294987639,0.12332332712337375
0.15383935093740092,0.2882668869770433,0.019411814897758586,0.8461606490475743,0.9773604742122339,0.12076729848571122
